,date,away_team,home_team,away_points,home_points,season,regular_season,away_team_id,home_team_id
0,20190320,SEA,OAK,9,7,0,1,11,28
1,20190321,SEA,OAK,5,4,0,1,11,28
2,20190328,PIT,CIN,3,5,0,1,7,27
3,20190328,ARI,LAN,5,12,0,1,6,19
4,20190328,COL,MIA,6,3,0,1,14,5
5,20190328,SLN,MIL,4,5,0,1,20,2
6,20190328,ATL,PHI,4,10,0,1,4,29
7,20190328,SFN,SDN,0,2,0,1,0,17
8,20190328,NYN,WAS,2,0,0,1,16,23
9,20190328,CHA,KCA,3,5,0,1,18,10
10,20190328,CLE,MIN,0,2,0,1,24,9
11,20190328,BAL,NYA,2,7,0,1,8,1
12,20190328,ANA,OAK,0,4,0,1,12,28
13,20190328,BOS,SEA,4,12,0,1,22,11
14,20190328,HOU,TBA,5,1,0,1,26,21
15,20190328,CHN,TEX,12,4,0,1,15,25
16,20190328,DET,TOR,2,0,0,1,3,13
17,20190329,ARI,LAN,5,4,0,1,6,19
18,20190329,COL,MIA,6,1,0,1,14,5
19,20190329,SLN,MIL,9,5,0,1,20,2
20,20190329,SFN,SDN,1,4,0,1,0,17
21,20190329,ANA,OAK,6,2,0,1,12,28
22,20190329,BOS,SEA,7,6,0,1,22,11
23,20190329,HOU,TBA,2,4,0,1,26,21
24,20190329,DET,TOR,0,6,0,1,3,13
25,20190330,ARI,LAN,5,18,0,1,6,19
26,20190330,COL,MIA,3,7,0,1,14,5
27,20190330,SLN,MIL,2,4,0,1,20,2
28,20190330,ATL,PHI,6,8,0,1,4,29
29,20190330,SFN,SDN,3,2,0,1,0,17
30,20190330,NYN,WAS,11,8,0,1,16,23
31,20190330,CHA,KCA,6,8,0,1,18,10
32,20190330,CLE,MIN,2,1,0,1,24,9
33,20190330,BAL,NYA,5,3,0,1,8,1
34,20190330,ANA,OAK,2,4,0,1,12,28
35,20190330,BOS,SEA,5,6,0,1,22,11
36,20190330,HOU,TBA,1,3,0,1,26,21
37,20190330,CHN,TEX,6,8,0,1,15,25
38,20190330,DET,TOR,0,3,0,1,3,13
39,20190331,PIT,CIN,5,0,0,1,7,27
40,20190331,ARI,LAN,7,8,0,1,6,19
41,20190331,COL,MIA,0,3,0,1,14,5
42,20190331,SLN,MIL,4,5,0,1,20,2
