HG,AG,HomeTeam,AwayTeam
0,3,Fulham,Arsenal
1,0,Crystal Palace,Southampton
4,3,Liverpool,Leeds
0,2,West Ham,Newcastle
0,3,West Brom,Leicester
0,1,Tottenham,Everton
1,3,Brighton,Chelsea
0,2,Sheffield United,Wolves
5,2,Everton,West Brom
4,3,Leeds,Fulham
1,3,Man United,Crystal Palace
2,1,Arsenal,West Ham
2,5,Southampton,Tottenham
0,3,Newcastle,Brighton
0,2,Chelsea,Liverpool
4,2,Leicester,Burnley
1,0,Aston Villa,Sheffield United
1,3,Wolves,Man City
2,3,Brighton,Man United
1,2,Crystal Palace,Everton
3,3,West Brom,Chelsea
0,1,Burnley,Southampton
0,1,Sheffield United,Leeds
1,1,Tottenham,Newcastle
2,5,Man City,Leicester
4,0,West Ham,Wolves
0,3,Fulham,Aston Villa
3,1,Liverpool,Arsenal
4,0,Chelsea,Crystal Palace
4,2,Everton,Brighton
1,1,Leeds,Man City
3,1,Newcastle,Burnley
0,3,Leicester,West Ham
2,0,Southampton,West Brom
2,1,Arsenal,Sheffield United
1,0,Wolves,Fulham
1,6,Man United,Tottenham
7,2,Aston Villa,Liverpool
2,2,Everton,Liverpool
3,3,Chelsea,Southampton
1,0,Man City,Arsenal
1,4,Newcastle,Man United
1,1,Sheffield United,Fulham
1,1,Crystal Palace,Brighton
3,3,Tottenham,West Ham
0,1,Leicester,Aston Villa
0,0,West Brom,Burnley
0,1,Leeds,Wolves
0,3,Aston Villa,Leeds
1,1,West Ham,Man City
1,2,Fulham,Crystal Palace
0,0,Man United,Chelsea
2,1,Liverpool,Sheffield United
2,0,Southampton,Everton
1,1,Wolves,Newcastle
0,1,Arsenal,Leicester
1,1,Brighton,West Brom
0,1,Burnley,Tottenham
2,0,Wolves,Crystal Palace
0,1,Sheffield United,Man City
0,3,Burnley,Chelsea
2,1,Liverpool,West Ham
3,4,Aston Villa,Southampton
2,1,Newcastle,Everton
0,1,Man United,Arsenal
2,1,Tottenham,Brighton
2,0,Fulham,West Brom
1,4,Leeds,Leicester
0,0,Brighton,Burnley
2,0,Southampton,Newcastle
1,3,Everton,Man United
4,1,Crystal Palace,Leeds
4,1,Chelsea,Sheffield United
1,0,West Ham,Fulham
0,1,West Brom,Tottenham
1,0,Leicester,Wolves
1,1,Man City,Liverpool
0,3,Arsenal,Aston Villa
0,2,Newcastle,Chelsea
1,2,Aston Villa,Brighton
2,0,Tottenham,Man City
1,0,Man United,West Brom
2,3,Fulham,Everton
0,1,Sheffield United,West Ham
0,0,Leeds,Arsenal
3,0,Liverpool,Leicester
1,0,Burnley,Crystal Palace
1,1,Wolves,Southampton
0,2,Crystal Palace,Newcastle
1,1,Brighton,Liverpool
5,0,Man City,Burnley
0,1,Everton,Leeds
1,0,West Brom,Sheffield United
2,3,Southampton,Man United
0,0,Chelsea,Tottenham
1,2,Arsenal,Wolves
1,2,Leicester,Fulham
2,1,West Ham,Aston Villa
1,1,Burnley,Everton
2,0,Man City,Fulham
1,3,West Ham,Man United
3,1,Chelsea,Leeds
1,5,West Brom,Crystal Palace
1,2,Sheffield United,Leicester
2,0,Tottenham,Arsenal
4,0,Liverpool,Wolves
1,2,Brighton,Southampton
1,2,Leeds,West Ham
0,1,Wolves,Aston Villa
2,1,Newcastle,West Brom
0,0,Man United,Man City
1,0,Everton,Chelsea
3,0,Southampton,Sheffield United
1,1,Crystal Palace,Tottenham
1,1,Fulham,Liverpool
0,1,Arsenal,Burnley
3,0,Leicester,Brighton
2,1,Wolves,Chelsea
1,1,Man City,West Brom
1,1,Arsenal,Southampton
5,2,Leeds,Newcastle
0,2,Leicester,Everton
0,0,Fulham,Brighton
2,1,Liverpool,Tottenham
1,1,West Ham,Crystal Palace
0,0,Aston Villa,Burnley
2,3,Sheffield United,Man United
0,7,Crystal Palace,Liverpool
0,1,Southampton,Man City
2,1,Everton,Arsenal
1,1,Newcastle,Fulham
1,1,Brighton,Sheffield United
0,2,Tottenham,Leicester
6,2,Man United,Leeds
0,3,West Brom,Aston Villa
2,1,Burnley,Wolves
3,0,Chelsea,West Ham
2,2,Leicester,Man United
3,0,Aston Villa,Crystal Palace
0,0,Fulham,Southampton
3,1,Arsenal,Chelsea
2,0,Man City,Newcastle
0,1,Sheffield United,Everton
1,0,Leeds,Burnley
2,2,West Ham,Brighton
1,1,Liverpool,West Brom
1,1,Wolves,Tottenham
1,1,Crystal Palace,Leicester
1,1,Chelsea,Aston Villa
0,1,Brighton,Arsenal
1,0,Burnley,Sheffield United
0,0,Southampton,West Ham
0,5,West Brom,Leeds
1,0,Man United,Wolves
0,0,Newcastle,Liverpool
